"date","compname","returns","rfree","month","year","mkt_ret"
2006-01-04,"COMPUTER ASSOCIATES INTL INC",0.015782,0.000403,1,2006,0.00366596429987216
2006-01-04,"MORGAN STANLEY DEAN WITTER & CO",0.000686,0.000403,1,2006,0.00366596429987216
2006-01-04,"C B S CORP NEW",-0.003824,0.000403,1,2006,0.00366596429987216
2006-01-04,"C B S CORP NEW",-0.007634,0.000403,1,2006,0.00366596429987216
2006-01-04,"CERTEGY INC",0.000244,0.000403,1,2006,0.00366596429987216
2006-01-04,"COMCAST CORP NEW",0.005722,0.000403,1,2006,0.00366596429987216
2006-01-04,"COMCAST CORP NEW",0.001157,0.000403,1,2006,0.00366596429987216
2006-01-04,"VIACOM INC NEW",0.009377,0.000403,1,2006,0.00366596429987216
2006-01-04,"VIACOM INC NEW",0.011074,0.000403,1,2006,0.00366596429987216
2006-01-05,"COMPUTER ASSOCIATES INTL INC",0.001766,0.000405,1,2006,1.57200408836872
2006-01-05,"MORGAN STANLEY DEAN WITTER & CO",0.002742,0.000405,1,2006,1.57200408836872
2006-01-05,"C B S CORP NEW",0.013436,0.000405,1,2006,1.57200408836872
2006-01-05,"C B S CORP NEW",0.013846,0.000405,1,2006,1.57200408836872
2006-01-05,"CERTEGY INC",0.043118,0.000405,1,2006,1.57200408836872
2006-01-05,"COMCAST CORP NEW",0.001516,0.000405,1,2006,1.57200408836872
2006-01-05,"COMCAST CORP NEW",0.003467,0.000405,1,2006,1.57200408836872
2006-01-05,"VIACOM INC NEW",0.006432,0.000405,1,2006,1.57200408836872
2006-01-05,"VIACOM INC NEW",0.004286,0.000405,1,2006,1.57200408836872
2006-01-06,"COMPUTER ASSOCIATES INTL INC",0.009517,0.000406,1,2006,0.00935551861859519
2006-01-06,"MORGAN STANLEY DEAN WITTER & CO",0.001025,0.000406,1,2006,0.00935551861859519
2006-01-06,"C B S CORP NEW",0.028409,0.000406,1,2006,0.00935551861859519
2006-01-06,"C B S CORP NEW",0.033005,0.000406,1,2006,0.00935551861859519
2006-01-06,"CERTEGY INC",-0.008174,0.000406,1,2006,0.00935551861859519
2006-01-06,"COMCAST CORP NEW",0.032551,0.000406,1,2006,0.00935551861859519
2006-01-06,"COMCAST CORP NEW",0.031094,0.000406,1,2006,0.00935551861859519
2006-01-06,"VIACOM INC NEW",0.009467,0.000406,1,2006,0.00935551861859519
2006-01-06,"VIACOM INC NEW",0.012091,0.000406,1,2006,0.00935551861859519
2006-01-09,"COMPUTER ASSOCIATES INTL INC",0.013967,0.000409,1,2006,0.00364969580898482
2006-01-09,"MORGAN STANLEY DEAN WITTER & CO",0.010586,0.000409,1,2006,0.00364969580898482
2006-01-09,"C B S CORP NEW",-0.006262,0.000409,1,2006,0.00364969580898482
2006-01-09,"C B S CORP NEW",-0.007345,0.000409,1,2006,0.00364969580898482
2006-01-09,"CERTEGY INC",0.008947,0.000409,1,2006,0.00364969580898482
2006-01-09,"COMCAST CORP NEW",0.006232,0.000409,1,2006,0.00364969580898482
2006-01-09,"COMCAST CORP NEW",0.009308,0.000409,1,2006,0.00364969580898482
2006-01-09,"VIACOM INC NEW",-0.003517,0.000409,1,2006,0.00364969580898482
2006-01-09,"VIACOM INC NEW",-0.004451,0.000409,1,2006,0.00364969580898482
